channel_id,channel_name,sector
UCA2tt9GSU2sl8rAqjlLR3mQ,GeorgeNotFound,Gaming
UC_8NknAFiyhOUaZqHR3lq3Q,Quackity,Gaming
UCjBp_7RuDBUYbd1LegWEJ8g,Xbox,Gaming
UCbu2SsF-Or3Rsn3NxqODImw,GameSpot,Gaming
UCBODyKF0JMbUd6D9Bklyzbw,Jacob Alpharad,Gaming
UCdoPCztTOW7BJUPk2h5ttXA,Call Me Kevin,Gaming
UC0VVYtw21rg2cokUystu2Dw,SmallAnt,Gaming
UC0PMQXAwF6O6aeTpv962miA,MrBossFTW,Gaming
UClyGlKOhDUooPJFy4v_mqPg,DougDoug,Gaming
UCRC6cNamj9tYAO6h_RXd5xA,RTGame,Gaming
UCvsdQrg8SkOvS2WiVXA5S4A,Ph1LzA,Gaming
UC7WDD6yHgzdqijHluCi1z-Q,The Act Man,Gaming
UC3tNpTOHsTnkmbwztCs30sA,Northernlion,Gaming
UC3GriadTkHBnfgd2UFETGOA,Blizzard Entertainment,Gaming
UCcDG6An0m2QST7KuBZfUUjg,BadBoyHaloVODS,Gaming
UCsAozDkhFGHxKl2D2LKIhCw,GINX TV,Gaming
UCsTcErHg8oDvUnTzoqsYeNw,Unbox Therapy,Lifestyle
UCucot-Zp428OwkyRm2I7v2Q,James Charles,Lifestyle
UCBJycsmduvYEL83R_U4JriQ,Marques Brownlee,Lifestyle
UCXuqSBlHAE6Xw-yeJA0Tunw,Linus Tech Tips,Lifestyle
UCzTKskwIc_-a0cGvCXA848Q,NikkieTutorials,Lifestyle
UCWFKCr40YwOZQx8FHU_ZqqQ,JerryRigEverything,Lifestyle
UCey_c7U86mJGz1VJWH5CYPA,iJustine,Lifestyle
UC8gFadPgK2r1ndqLI04Xvvw,Maangchi,Lifestyle
UC3DkFux8Iv-aYnTRWzwaiBA,Peter McKinnon,Lifestyle
UCrUbqTCagwsaP2Fmr0p1TsA,Zoe Sugg,Lifestyle
UCVYamHliCI9rw1tHR1xbkfw,Dave2D,Lifestyle
UCnQhwPVwcP-DnbUZtIMrupw,bestdressed,Lifestyle
UClHVl2N3jPEbkNJVx-ItQIQ,HealthyGamerGG,Lifestyle
UCfyehHM_eo4g5JUyWmms2LA,Sorted Food,Lifestyle
UC3KEoMzNz8eYnwBC34RaKCQ,Simone Giertz,Lifestyle
UC19OYOBqkgVqgTIQxbsPdlw,ThatDudeCanCook,Lifestyle
UCn5fhcGRrCvrmFibPbT6q1A,Brian Lagerstrom ,Lifestyle
UCxD2E-bVoUbaVFL0Q3PvJTg,ChefSteps,Lifestyle
UC1rIOwTqDuWkFj87HZYRFOg,NYT Cooking,Lifestyle
UCvcEBQ0K3UsQ8bzWKHKQmbw,struthless,Lifestyle
UCSyUORYTXiiyAn9yyB6pOmg,ABC Entertainment,Lifestyle
UCiiNkmFM_S_r8nEWSMbCCAw,lauraao,Lifestyle
UCvgfXK4nTYKudb0rFR6noLA,UFC,Sports
UCTl3QQTvqHFjurroKxexy2Q,Olympics,Sports
UCLzKhsxrExAC6yAdtZ-BOWw,Juventus,Sports
UCTv-XvfzLX3i4IGWAm4sbmA,LALIGA EA SPORTS,Sports
UCBJeMCIeLQos7wacox4hmLQ,Serie A,Sports
UCt9a_qP9CqHCNwilf-iULag,PSG - Paris Saint-Germain,Sports
UCG5qGWdu8nIRZqJ_GgDwQ-w,Premier League,Sports
UC6UL29enLNe4mqwTfAyeNuw,Bundesliga,Sports
UCqZQlzSHbVJrwrn5XvzrzcA,NBC Sports,Sports
UCEg25rdRZXg32iwai6N6l0w,Tottenham Hotspur,Sports
UCNa8NxMgSm7m4Ii9d4QGk1Q,Wimbledon,Sports
UCaBIVVpHjq6j3tSyxwTE-8Q,WTA,Sports
UCQk7fWv15ChjMJLCRVmtApw,World Athletics,Sports
UCKcx1uK38H4AOkmfv4ywlrg,AC Milan,Sports
UCSZbXT5TLLW_i-5W8FZpFsg,Major League Soccer,Sports
UCwNqHDsnBCKT-olwJwIFyfg,FOX Sports,Sports
UCY3NEq2LYrmdoGkevo9BH5A,NFL Films,Sports
UCja8sZ2T4ylIqjggA1Zuukg,CBS Sports,Sports
UCF3K1Jf8hjFW8qliei8fQ3A,Roland-Garros,Sports
UCpGimyrbwRtrcJ-CIiRDXbA,NBA G League,Sports
UCdi3n18zcIZeTk_x9qvSgZw,DAZN,Sports
UC0oyi_CF3v9fsKmBM2m6wPA,IPL,Sports
UCLcSuj4B8YyUVJdVDeozFQg,championsleague,Sports
