channel_id,channel_name,sector
UCnw5KFMEQQYnzygoP1GiVlg,SciShow,Sports
UCnyzNQNLDQ6DpPNTAQnFDNw,GQ Sports,Sports
UC8FCXKCdXhCM4vIRUrGFGWA,Bleacher Report,Sports
UCKlkiIOAv2OFbNQqYIULoJQ,Khabib Nurmagomedov,Sports
UCE_M8A5yxnLfW0KghEeajjw,FC Barcelona,Sports
UCpcTrCXblq78GZrTUTLWeBw,Manchester City,Sports
UC7Jwj9fkrf1adN4fMmTkpug,Real Madrid CF,Sports
UCWX2YBd6jxKzPv5grRMjvLA,Liverpool FC,Sports
UCqZoSMkFMk6c69V0LX5AqXw,Chelsea FC,Sports
UChnag_6E6jHCK7C5HRFAZBQ,Tottenham Hotspur,Sports
UCHaKSCKHrNpqiLuKmEjQMag,TNT Sports,Sports
UCkFCzFAGJFrFvnQFbFRjyMw,Sky Sports,Sports
UCp-9oCk74A3CJlhTVhcf9qw,SuperSport,Sports
UCJtDqJRgT1HxmqOm0IaHsRw,Conan O'Brien,Comedy
UCi7GJNg51C3jgmYTUwqoUXA,The Late Late Show,Comedy
UCJ0uqCI0Vqr2Rrt1HseGkNg,Jimmy Kimmel,Comedy
UCKWX2YBd6jxKzPv5grRMjvLA,Late Night with Seth Meyers,Comedy
UC8-Th83bH_thdKZDJCrn88g,CollegeHumor,Comedy
UCddiUEpeqJcYeBxX1IVBKvQ,Ryan Higa,Comedy
UC7PP3jgmJQzHaLBqNM32pkQ,Lilly Singh,Comedy
UCFl7yKfcRcFmIUbKeCA-NKQ,Key and Peele,Comedy
UC-lHJZR3Gqxm24_Vd_AJ5Yw,JonTronShow,Comedy
UCvYT-oLBRw3mEcmGNq6BKRQ,Jacksfilms,Comedy
UC9CoOnJkIBMdeijd9qYoT_g,Danny Gonzalez,Comedy
UCnrLMlwCCqtR3vkf8dpCgog,Drew Gooden,Comedy
UCFtAZKcmxH7C2EqPUNDDNnQ,Kurtis Conner,Comedy
UC0GZozu1otOVKgQi3dHxaLA,Gus Johnson,Comedy
UCyWDMSMnNZZ3AAB-zq7PC6Q,Internet Comment Etiquette,Comedy
UCbZBSix1OqJFnSFpMaTqhHw,Dunkey,Comedy
UCiB6p6hHBEnNI3P6gVSjfVA,Sam Hyde,Comedy
UCzga3yQwNGsQ85dUVmwlntQ,Simply Nailogical,Comedy
UCdTAHh6ZBFHW_VL3pkSzDSw,Cody Ko,Comedy
UCo8bcnLyZH8tBIH9V1mLgqQ,H3H3 Productions,Comedy
UCNqN-sBTrFkZ2hB2qDNLR4Q,Binging with Babish,Lifestyle
UCabl9BuBMGOjW3_xzSJrpFQ,Joshua Weissman,Lifestyle
UCekQr9znsk2vWxBo3YiLq2w,Internet Shaquille,Lifestyle
UCJFp8uSYCjXOMnkUyb3CQ3Q,Tasty,Lifestyle
UCpiMF0iEFovGEGIJlL2CYZA,Food Wishes,Lifestyle
UC07KCNmBb_LQlXFNMIlAZsw,Ethan Chlebowski,Lifestyle
UCVBKQwFqiVF5b4K4bLlx3oQ,Emmymade,Lifestyle
UC9PBzalIcEQCsiIkvu36ZaA,Sorted Food,Lifestyle
UCV3FYEF2VFi3dFUa5s9fAkw,Adam Ragusea,Lifestyle
UCJXGnaoTWZVB0GGPQM0Xcng,Techquickie,Lifestyle
UCrkiGAOnFHaHqCa_4IXBNAA,Alex Mercer,Lifestyle
UCpEhnqL0y41EpW2TvWAHD7Q,SET India,Lifestyle
UCncoUqFRCkjhFJC3EqBv1Pg,Kabita Singh,Lifestyle
UCptcCLtPgBNGLsGdHqQBdmA,Sanjeev Kapoor Khazana,Lifestyle
UC6oBXsXMmNx0ixdWXGKRe_g,Nisha Madhulika,Lifestyle
UC0YFVE2U5RSmgQMnwxqZv_w,Bhuvan Bam,Lifestyle
UCfRfBEMfNjHVoGRxRTlq3UQ,Round2Hell,Lifestyle
UCHjqBGbH5bk71FAKzMFgcIA,CarryMinati,Lifestyle
UCqmO2JqNKpAcEe35SbGM0Yw,Ashish Chanchlani,Lifestyle
UC03MVfhGo-M5Yl_8yP-s1HQ,Technical Guruji,Lifestyle
UCyHGHEE3T8TAHF5VtWO1Gyg,Prajakta Koli,Lifestyle
UCpYBGJeUYFknbgr_ZiKQ-3A,Filter Copy,Lifestyle
UCq9YpiAeHaHmPdlBPb70gEA,Zindagi With Prerna,Lifestyle
UCHp0wJTqtGDhFmGn4eWlnkw,Niharika Nm,Lifestyle
UC6xSaFuJBMpXJoHOCQHg8yQ,Triggered Insaan,Lifestyle
UCCezIgC97PvUuR4_gbFUs5g,Corridor Crew,Lifestyle
UCc_CnW9HnmY4KnuNKqNvMYg,Yes Theory,Lifestyle
UCSHZKyawb77ixDdsGog4iQA,Joe Rogan Clips,Lifestyle
UC295-Dw_tDNtZXFeAPAW6Aw,5-Minute Crafts,Lifestyle
UCvPXiKxH-eH9xq-L8JrTGAQ,Matt D'Avella,Lifestyle
UCMc4toABMfsBKMWAqpgT69g,Mark Manson,Lifestyle
UCgBg0OcFmMuMFNFqr_FJC-A,Thomas Frank,Lifestyle
UCG-KntY7aVnIGXYEBQvmBAQ,Ali Abdaal,Lifestyle
UCfHZouoJEqJBEilBXbMooBQ,Mike and Matty,Lifestyle
UCnUYZLuoy1rq1aVMwx4aTzw,Mike Shake,Lifestyle
